Name,Cases - cumulative total,Deaths - cumulative total,TOTAL_VACCINATIONS
Afghanistan,226220,7950,21565416
Albania,334090,3604,3087677
Algeria,271910,6881,15267442
American Samoa,8359,34,114706
Andorra,48015,159,157062
Angola,105968,1936,27309449
Anguilla,3904,12,24611
Antigua and Barbuda,9106,146,136512
Argentina,10054576,130472,109652736
Armenia,449650,8751,2163656
Aruba,44224,292,216974
Australia,11608166,23129,68653247
Austria,6081287,22534,20403676
Azerbaijan,833189,10332,13828052
Bahamas,38084,844,366359
Bahrain,696614,1536,3476633
Bangladesh,2045734,29477,360177584
Barbados,110023,620,381721
Belarus,994037,7118,22476401
Belgium,4817196,34339,29120974
Belize,71060,688,510770
Benin,28036,163,4232541
Bermuda,18860,165,132042
Bhutan,62697,21,2011426
Bolivia (Plurinational State of),1208716,22404,16016290
Bonaire,9864,33,43070
Bosnia and Herzegovina,403155,16354,1924950
Botswana,330275,2800,3171667
Brazil,37721749,704659,513329718
British Virgin Islands,7305,64,41453
Brunei Darussalam,311449,163,1293100
Bulgaria,1302188,38414,4618655
Burkina Faso,22056,396,7893609
Burundi,54366,15,41426
Cabo Verde,64401,415,859940
Cambodia,138941,3056,47601597
Cameroon,125090,1974,4842306
Canada,4712542,53260,97596974
Cayman Islands,31472,37,151822
Central African Republic,15367,113,3342248
Chad,7698,194,8971575
Chile,5288823,61607,66273384
China,99312876,121714,3516880717
Colombia,6381470,142977,90506612
Comoros,9109,160,835021
Congo,25196,389,833210
Cook Islands,7158,2,40080
Costa Rica,1238884,9428,13371989
Côte d’Ivoire,88338,835,25263932
Croatia,1275337,18351,5432918
Cuba,1115103,8530,38105906
Curaçao,45883,305,260324
Cyprus,660854,1364,1858978
Czechia,4651538,42849,18614714
Democratic Republic of the Congo,98863,1468,18808671
Denmark,3417017,8824,14943741
Djibouti,15690,189,392703
Dominica,15760,74,67647
Dominican Republic,667073,4384,15972891
Ecuador,1069135,36043,39495110
Egypt,516023,24830,112673535
El Salvador,201807,4230,11426688
Equatorial Guinea,17130,183,488738
Eritrea,10189,103,
Estonia,602187,2902,2204970
Eswatini,74996,1427,870205
Ethiopia,501060,7574,68856793
Falkland Islands (Malvinas),1923,0,9390
Faroe Islands,34658,28,103894
Fiji,69047,885,1547226
Finland,1486084,10265,13264351
France,38997490,167985,158060078
French Guiana,98041,413,242193
French Polynesia,78632,649,480028
Gabon,48992,307,572672
Gambia,12626,372,1444492
Georgia,1855289,17132,2739270
Germany,38437756,174979,193241457
Ghana,171653,1462,25624828
Gibraltar,20550,113,132810
Greece,5405742,37572,21985377
Greenland,11971,21,79738
Grenada,19693,238,90686
Guadeloupe,203235,1021,400129
Guam,52017,416,352698
Guatemala,1271070,20235,20370595
Guernsey,35326,67,178525
Guinea,38563,468,10645240
Guinea-Bissau,9614,177,825234
Guyana,73387,1299,960133
Haiti,34326,860,664150
Honduras,474587,11127,16901540
Hungary,2206311,48807,16570437
Iceland,209142,186,869976
India,44998838,532032,2206737729
Indonesia,6813429,161918,447595845
Iran (Islamic Republic of),7617752,146410,155445801
Iraq,2465545,25375,19557364
Ireland,1721152,9249,12386942
Isle of Man,38008,116,189994
Israel,4839886,12691,17915305
Italy,26082645,191715,150321523
Jamaica,156328,3606,1525895
Japan,33803572,74694,407284261
Jersey,66391,161,266953
Jordan,1746997,14122,10057975
Kazakhstan,1502857,19072,38355605
Kenya,343955,5689,23750431
Kiribati,5085,24,219980
Kosovo[1],274020,3210,1836901
Kuwait,666333,2570,8261024
Kyrgyzstan,88889,1024,3167393
Lao People's Democratic Republic,218870,671,13879410
Latvia,976316,7384,2979624
Lebanon,1239904,10947,5814699
Lesotho,34490,706,1339097
Liberia,7930,294,4460668
Libya,507269,6437,3739158
Liechtenstein,21491,87,71104
Lithuania,1329905,9710,4532545
