Sl. No.,State/UT,Oxygen allocated (In Metric Ton)
1,Maharashtra,1200
2,Gujarat,800
3,Karnataka,1200
4,Madhya Pradesh,500
5,Delhi,400
6,Haryana,307
7,Uttar Pradesh,894
8,Punjab,247
9,Tamil Nadu,650
10,Kerala,500
11,Chhattisgarh,227
12,Rajasthan,505
13,Telangana,450
14,Andhra Pradesh,590
15,Assam,160
16,Uttarakhand,200
17,Jammu & Kashmir,86
18,Goa,55
19,Chandigarh,40
20,Himachal Pradesh,40
21,Bihar,274
22,West Bengal,480
23,Dadra & Nagar Haveli and Daman & Diu,20
24,Jharkhand,120
25,Puducherry,50
26,Odisha,265
